frame,time_s,raw_kmh,filtered_kmh
1649,41.894,64.7,0.0
1650,41.919,15.84,0.0
1651,41.944,117.97,2.55
1652,41.97,45.37,6.56
1653,41.995,145.42,17.25
1654,42.021,51.09,27.39
1655,42.046,15.84,33.7
1656,42.071,120.45,42.79
1657,42.097,41.31,48.39
1658,42.122,129.73,55.75
1659,42.148,45.37,59.85
1660,42.173,14.61,60.68
1661,42.198,104.19,62.65
1662,42.224,35.43,63.13
1663,42.249,115.34,64.76
1664,42.275,45.37,65.43
1665,42.3,110.05,66.8
1666,42.325,35.43,67.19
1667,42.351,10.02,66.51
1668,42.376,102.18,66.55
1669,42.402,35.43,66.16
1670,42.427,94.33,66.21
1671,42.452,33.42,65.88
1672,42.478,7.92,65.01
1673,42.503,76.64,64.44
1674,42.529,30.27,63.68
1675,42.554,100.26,63.39
1676,42.579,35.43,62.94
1677,42.605,84.5,62.73
1678,42.63,25.55,62.31
1679,42.656,7.92,61.62
1680,42.681,94.33,61.25
1681,42.706,38.15,60.81
1682,42.732,68.78,60.48
1683,42.757,17.71,59.99
1684,42.783,10.02,59.35
1685,42.808,72.69,58.85
1686,42.834,25.55,58.28
1687,42.859,96.69,57.95
1688,42.884,33.42,57.58
1689,42.91,78.02,57.32
1690,42.935,30.06,56.99
1691,42.961,7.09,56.54
1692,42.986,69.78,56.18
1693,43.011,23.76,55.77
1694,43.037,82.63,55.49
1695,43.062,25.55,55.16
1696,43.088,7.92,54.74
1697,43.113,55.34,54.37
1698,43.138,19.08,53.94
1699,43.164,77.69,53.62
1700,43.189,30.27,53.27
1701,43.215,68.78,53.0
1702,43.24,20.04,52.69
1703,43.265,7.09,52.31
